id,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,taxonRank,identifiedBy,dateIdentified,recordedBy,recordNumber,eventDate,year,month,day,verbatimEventDate,occurrenceRemarks,lifeStage,country,stateProvince,county,locality,locationRemarks,decimalLatitude,decimalLongitude,georeferencedBy,georeferenceSources,recordEnteredBy,recordId,references
704406,Animalia,Arthropoda,Insecta,,,Orthoptera,82693,,,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:7c2fda6d-e87d-43cf-844a-8cb9e5ba08e8,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704406
704417,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M.Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:3afe9952-e2a3-4991-a9fd-da2d9550fc05,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704417
704427,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:9c582235-1efe-42fa-aa70-40119b93d9fd,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704427
704439,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Pepsis,294469,,Pepsis,Genus,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:7954399c-f1b5-4d19-b381-b28e5d983a31,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704439
704443,Animalia,Arthropoda,Insecta,,,Diptera,82673,,,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:0b97cf52-17c4-4e60-94da-5cbe6b35df90,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704443
704473,Animalia,Arthropoda,Insecta,Neuroptera,,Myrmeleontidae,92455,,,Family,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:a5cbb43f-af83-42d7-94b0-df9e863c3883,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704473
704474,Animalia,Arthropoda,Insecta,Diptera,,Asilidae,83556,,,Family,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:322d1bce-ef6a-4f34-be62-02590a53e245,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704474
704492,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:3f649184-3351-40bd-b369-cfb900aaea22,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704492
704494,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:703c131a-e30f-4ea8-9a1b-70fff83a9bdb,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704494
704498,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:d57c8207-5711-4e4d-a176-3fee82e8ff88,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704498
704506,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:2922385d-bc6e-48c5-93e4-6cd5d331e08d,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704506
704513,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:c6be64e4-335f-4ea2-b1ae-f5a895c219c8,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704513
704516,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:b7fbeacc-1b7c-4de8-85cb-e386df408309,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704516
704521,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:ab9cf0c1-bf28-434f-b9e8-274cb5230df6,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704521
704528,Animalia,Arthropoda,Insecta,,,Hemiptera,82680,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,M. Reid (ORCID 0000-0003-1868-9726),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:955293f3-656e-4e71-900d-ee16eb355133,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704528
704533,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",,Order,M. Reid (ORCID 0000-0003-1868-9726),2021,S.Lee (ORCID# 0000-0002-9636-8242),,5/28/2021,2021,5,28,28-May-21,UV & MV lights,Adult,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Andrew Johnston,Label,mreid15,urn:uuid:418d4e7f-54b1-44be-8d78-befef2d1c6df,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704533
