id,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,identifiedBy,dateIdentified,recordedBy,recordNumber,eventDate,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,minimumElevationInMeters,maximumElevationInMeters,recordEnteredBy,recordId,references
649816,Plantae,Magnoliophyta,,Asterales,Asteraceae,Calycoseris wrightii,2857,A. Gray,,,TF Daniel,4160,3/24/1985,USA,Arizona,Maricopa,,South Mountains; along National trail from Buena vista Lookout to Hidden Valley; Phoenix Quad,,33.3415,-112.04,634,756,Deanna,urn:uuid:fabdcd98-52e3-477e-8316-ca12dcd74378,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649816
650390,Plantae,Magnoliophyta,,Asterales,Asteraceae,Erigeron oxyphyllus,1318,Greene,,,TF Daniel,4159,3/24/1985,USA,Arizona,Maricopa,,South Mountain along National Trail from Buena Vista Lookout to Hidden Valley; Phoenix Quad,,33.3415,-112.04,634,756,Deanna,urn:uuid:9ea14572-2abc-4bd7-a6ca-2b4cab78924a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650390
650588,Plantae,Magnoliophyta,,Asterales,Asteraceae,Filago californica,3687,Nutt.,,,TF Daniel,4171-.5,3/24/1985,USA,Arizona,Maricopa,,South Mountains; along National Trail form Buena Vista Lookout to Hidden Valley,,33.3415,-112.04,634,756,Deanna,urn:uuid:d1630496-ef93-4476-af96-091a56c34a83,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650588
651001,Plantae,Magnoliophyta,,Asterales,Asteraceae,Stephanomeria pauciflora,2176,(Torr.) A. Nels.,,,"Daniel, T.; Butterwick",4289,4/28/1985,USA,Arizona,Maricopa,,"South Mountains, along major drainage southeast of Buena Vista Lookout",,33.3415,-112.04,549,671,,urn:uuid:3f9b8f36-1307-4f35-9f58-31f1a1f7bb68,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=651001
654022,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Descurainia pinnata,2075,(Walter) Britton,,,"Daniel, T.",4149,3/24/1985,USA,Arizona,Maricopa,,South Mountains. Along National Trail from Buena Vista Lookout to Hidden Valley,,33.3415,-112.04,634,756,,urn:uuid:dfbad591-c5db-48d4-8003-acf806e4a0a6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=654022
654867,Plantae,Magnoliophyta,,Caryophyllales,Chenopodiaceae,Atriplex canescens,127,(Pursh) Nutt.,,,T. F. Daniel,4162,3/24/1985,USA,Arizona,Maricopa,,South Mountains; along National Trail from Buena Vista Lookout to Hidden Valley; Phoenix Quad.,,33.3415,-112.04,634,756,roisan,urn:uuid:2981cd1d-c3d8-4fe6-8a0e-1a03919ec852,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=654867
654964,Plantae,Magnoliophyta,,Caryophyllales,Chenopodiaceae,Atriplex polycarpa,149,(Torr.) S. Wats.,,,T. F. Daniel,4143,3/24/1985,USA,Arizona,Maricopa,,South Mountains; along National Trail from Buena Vista Lookout to Hidden Valley; Phoenix Quad.,,33.3415,-112.04,634,756,roisan,urn:uuid:1f4f4b5b-c709-4317-9b35-5a35eecdd3ca,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=654964
666230,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus nuttallianus var. imperfectus,12284,(Rydb.) Barneby,,,T.F. Daniel,4147,3/24/1985,USA,Arizona,Maricopa,,South Mountains. Along National Trail from Buena Vista Lookout to Hidden Valley.(Phoenix Quad),,33.3415,-112.04,634,756,,urn:uuid:6cbba51f-f30a-4cde-b204-d70f05dd70ae,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=666230
8464331,Plantae,Magnoliophyta,,Lamiales,Phrymaceae,Erythranthe nasuta,172167,(Greene) G.L. Nesom,Guy Nesom,2015,T.F. Daniel,4151,3/24/1985,USA,Arizona,Maricopa,,"South Mountains; along national trail from Buena Vista lookout to Hidden Valley; Phoenix Quad., Sections 15, 14, 11",,33.3415,-112.04,634,756,Roisan,urn:uuid:c7e52916-d3fc-468d-8078-2913c04c6772,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8464331
649341,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chaenactis stevioides,2872,Hook. & Arn.,,,TF Daniel,3965,3/6/1985,USA,Arizona,Maricopa,,South Mountains,,33.3415,-112.022,427,579,Deanna,urn:uuid:fff32a89-10d2-498c-8ae3-1897d31bc280,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649341
649392,Plantae,Magnoliophyta,,Asterales,Asteraceae,Hymenoclea salsola,10536,Torr. & A.Gray,,,"Daniel, T.",3957,3/6/1985,USA,Arizona,Maricopa,,"South Mountains, wash on southeast portion of Mountains",,33.3415,-112.022,427,579,,urn:uuid:7566d2bb-1f16-4ec5-a9ba-aa975437d887,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649392
