id,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,identifiedBy,dateIdentified,recordedBy,recordNumber,eventDate,occurrenceRemarks,country,stateProvince,county,locality,locationRemarks,decimalLatitude,decimalLongitude,recordEnteredBy,recordId,references
704407,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,S. Lee (ORCID 0000-0002-9636-8242),,5/28/2021,UV light trap,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:5f7be30a-e917-4045-8437-5bd09c6700e5,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704407
704409,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,F. Cisneros (ORCID 0000-0002-5443-1290),,5/28/2021,UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:cade5740-0495-4a8a-b92f-a1e8187e0e0b,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704409
704418,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,F. Cisneros (ORCID 0000-0002-5443-1290),,5/29/2021,UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:00b188ea-e288-4534-8fd7-246888bb8820,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704418
704438,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,S. Lee (ORCID 0000-0002-9636-8242),,5/30/2021,UV light trap,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:958577db-c521-42e9-9674-8423dd87f728,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704438
704440,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,S. Lee (ORCID 0000-0002-9636-8242),,5/28/2021,UV light trap,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:8326d3e6-5804-4c63-8b98-c65ea351802e,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704440
704490,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,S. Lee (ORCID 0000-0002-9636-8242),,5/28/2021,UV light trap,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:edf028ec-6f25-4c54-860a-08036cb6c2ea,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704490
704493,Animalia,Arthropoda,Insecta,,,Lepidoptera,82687,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,S. Lee (ORCID 0000-0002-9636-8242),,5/28/2021,UV light trap,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:d376ab41-4121-447f-bc20-39e9228abe9e,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704493
704504,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,S. Lee (ORCID 0000-0002-9636-8242),,5/28/2021,UV light trap,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:b99791cf-1fd8-44cd-9129-a25b766f0355,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704504
704507,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,F. Cisneros (ORCID 0000-0002-5443-1290),,5/28/2021,UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:9546917d-fc52-4846-8e5a-1ab813343f50,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704507
704509,Animalia,Arthropoda,Insecta,,,Coleoptera,36,"Linnaeus, 1758",F. Cisneros (ORCID 0000-0002-5443-1290),2021,F. Cisneros (ORCID 0000-0002-5443-1290),,5/28/2021,UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",,33.3116,-113.4043,Faith.Cisneros,urn:uuid:0999df07-f804-41b4-bd67-0cc45d4bf1bc,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704509
