id,catalogNumber,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,identifiedBy,dateIdentified,recordedBy,occurrenceRemarks,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,recordEnteredBy,references
704374,ASUHIC0165656,Animalia,Arthropoda,Insecta,Hemiptera,,Hemiptera,82680,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704374
704412,ASUHIC0165588,Animalia,Arthropoda,Insecta,Hemiptera,,Hemiptera,82680,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704412
704415,ASUHIC0165658,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,Lycidae,2541,"Laporte, 1836",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704415
704420,ASUHIC0165621,Animalia,Arthropoda,Insecta,Hymenoptera,,Hymenoptera,82681,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704420
704422,ASUHIC0165622,Animalia,Arthropoda,Insecta,Hymenoptera,,Hymenoptera,82681,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704422
704423,ASUHIC0165657,Animalia,Arthropoda,Insecta,Hymenoptera,,Hymenoptera,82681,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704423
704425,ASUHIC0165587,Animalia,Arthropoda,Insecta,Diptera,,Diptera,82673,,S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Lee (ORCID 0000-0002-9636-8242),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704425
704426,ASUHIC0165623,Animalia,Arthropoda,Insecta,Diptera,,Diptera,82673,,S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704426
704428,ASUHIC0165624,Animalia,Arthropoda,Insecta,Coleoptera,,Coleoptera,36,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Lee (ORCID 0000-0002-9636-8242),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704428
704429,ASUHIC0165590,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Oedemeridae,2806,"Latreille, 1810",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704429
704432,ASUHIC0165589,Animalia,Arthropoda,Insecta,Coleoptera,,Coleoptera,36,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Hess (ORCID 0000-0001-9242-2435),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704432
704436,ASUHIC0165660,Animalia,Arthropoda,Insecta,Coleoptera,,Coleoptera,36,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Lee (ORCID 0000-0002-9636-8242),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704436
704437,ASUHIC0165659,Animalia,Arthropoda,Insecta,Coleoptera,,Coleoptera,36,"Linnaeus, 1758",S. Hess (ORCID 0000-0001-9242-2435),6/4/2021,S. Lee (ORCID 0000-0002-9636-8242),UV & MV lights,United States,Arizona,Yuma,"Cemetery Ridge, Apache Box",33.3116,-113.4043,SavageHess,https://serv.biokic.asu.edu/ecdysis/collections/individual/index.php?occid=704437
