id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
649816,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,fabdcd98-52e3-477e-8316-ca12dcd74378,,153357,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Calycoseris",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Calycoseris wrightii",2857,"A. Gray",Calycoseris,,wrightii,,,Species,,,,,,,,"TF Daniel",4160,1985-03-24,1985,3,24,83,,,"Herb; rays white with red spots; involucres bracts red-tipped; rare","Sonoran desertscrub",,,,"Herb; rays white with red spots; involucres bracts red-tipped; rare",,,flowers,,,,,,USA,Arizona,Maricopa,,"South Mountains; along National trail from Buena vista Lookout to Hidden Valley; Phoenix Quad",,33.3415,-112.04,,,"TRS: T01S R03E S15 N1/2; 14NW1/4; 11SW1/4",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,Deanna,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fabdcd98-52e3-477e-8316-ca12dcd74378,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649816
650390,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,9ea14572-2abc-4bd7-a6ca-2b4cab78924a,,153378,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Erigeron oxyphyllus",1318,Greene,Erigeron,,oxyphyllus,,,Species,,,,,,,,"TF Daniel",4159,1985-03-24,1985,3,24,83,,,"Perennial herb; occasional","Sonoran desertscrub",,,,"Perennial herb; occasional",,,fruit,,,,,,USA,Arizona,Maricopa,,"South Mountain along National Trail from Buena Vista Lookout to Hidden Valley; Phoenix Quad",,33.3415,-112.04,,,"TRS: T01S R03E S15 N1/2; 14NW1/4; 11SW1/4",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,Deanna,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9ea14572-2abc-4bd7-a6ca-2b4cab78924a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650390
650588,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,d1630496-ef93-4476-af96-091a56c34a83,,153181,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Filago",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Filago californica",3687,Nutt.,Filago,,californica,,,Species,,,,,,,,"TF Daniel",4171-.5,1985-03-24,1985,3,24,83,,,"Annual herb","Sonoran desertscrub; Arizona upland",,,,"Annual herb",,,flowers,,,,,,USA,Arizona,Maricopa,,"South Mountains; along National Trail form Buena Vista Lookout to Hidden Valley",,33.3415,-112.04,,,"TRS: T01S R03E S15 N1/2; 14NW1/4; 11SW1/4",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,Deanna,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d1630496-ef93-4476-af96-091a56c34a83,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=650588
651001,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,3f9b8f36-1307-4f35-9f58-31f1a1f7bb68,,153329,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Stephanomeria",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Stephanomeria pauciflora",2176,"(Torr.) A. Nels.",Stephanomeria,,pauciflora,,,Species,,,,,,,,"Daniel, T.; Butterwick",4289,1985-04-28,1985,4,28,118,,,"shrub to 4dm, corollas pinkish, occasional","Sonoran desert scrub, lone butte",,,,"shrub to 4dm, corollas pinkish, occasional",,,fl,,,,,,USA,Arizona,Maricopa,,"South Mountains, along major drainage southeast of Buena Vista Lookout",,33.3415,-112.04,,,"TRS: T01S R03E S15 SE1/4",,,"+-0.5 miles, lat-long estimate                                                                      ",,,549,671,,,,1800-2200ft,,,,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3f9b8f36-1307-4f35-9f58-31f1a1f7bb68,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=651001
654022,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,dfbad591-c5db-48d4-8003-acf806e4a0a6,,154579,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Descurainia",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Descurainia pinnata",2075,"(Walter) Britton",Descurainia,,pinnata,,,Species,,,,,,,,"Daniel, T.",4149,1985-03-24,1985,3,24,83,,,Rare,"Sonoran desert scrub",,,,Rare,,,fr,,,,,,USA,Arizona,Maricopa,,"South Mountains. Along National Trail from Buena Vista Lookout to Hidden Valley",,33.3415,-112.04,,,"TRS: T01S R03E S15 N 1/2 15, NW 1/4 14, SW 1/4 11 (Phoenix Quad)",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:dfbad591-c5db-48d4-8003-acf806e4a0a6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=654022
654867,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,2981cd1d-c3d8-4fe6-8a0e-1a03919ec852,,154170,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Atriplex",Plantae,Magnoliophyta,,Caryophyllales,Chenopodiaceae,"Atriplex canescens",127,"(Pursh) Nutt.",Atriplex,,canescens,,,Species,,,,,,,,"T. F. Daniel",4162,1985-03-24,1985,3,24,83,,,"Shrub to 1.5m; rare","Sonoran Desertscrub",,,,"Shrub to 1.5m; rare",,,,,,,,,USA,Arizona,Maricopa,,"South Mountains; along National Trail from Buena Vista Lookout to Hidden Valley; Phoenix Quad.",,33.3415,-112.04,,,"TRS: T01S R03E S15",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,roisan,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2981cd1d-c3d8-4fe6-8a0e-1a03919ec852,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=654867
654964,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,1f4f4b5b-c709-4317-9b35-5a35eecdd3ca,,153180,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Atriplex",Plantae,Magnoliophyta,,Caryophyllales,Chenopodiaceae,"Atriplex polycarpa",149,"(Torr.) S. Wats.",Atriplex,,polycarpa,,,Species,,,,,,,,"T. F. Daniel",4143,1985-03-24,1985,3,24,83,,,"Shrub to 8m; occasional locally","Sonoran Desertscrub",,,,"Shrub to 8m; occasional locally",,,fr,,,,,,USA,Arizona,Maricopa,,"South Mountains; along National Trail from Buena Vista Lookout to Hidden Valley; Phoenix Quad.",,33.3415,-112.04,,,"TRS: T01S R03E S15 N1/2, 14 NW1/4, 11 SW1/4",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,roisan,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1f4f4b5b-c709-4317-9b35-5a35eecdd3ca,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=654964
666230,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,6cbba51f-f30a-4cde-b204-d70f05dd70ae,,154315,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus nuttallianus",Plantae,Magnoliophyta,,Fabales,Fabaceae,"Astragalus nuttallianus var. imperfectus",12284,"(Rydb.) Barneby",Astragalus,,nuttallianus,var.,imperfectus,Variety,,,,,,,,"T.F. Daniel",4147,1985-03-24,1985,3,24,83,,,,"Sonoran desertscrub. Rare",,,,,,,fruit,,,,,,USA,Arizona,Maricopa,,"South Mountains. Along National Trail from Buena Vista Lookout to Hidden Valley.(Phoenix Quad)",,33.3415,-112.04,,,"TRS: T01S R03E S15 N1/2, 14 NW 1/4, 11 SW 1/4",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6cbba51f-f30a-4cde-b204-d70f05dd70ae,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=666230
8464331,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,c7e52916-d3fc-468d-8078-2913c04c6772,ASU0091415,153157,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Phrymaceae|Erythranthe",Plantae,Magnoliophyta,,Lamiales,Phrymaceae,"Erythranthe nasuta",172167,"(Greene) G.L. Nesom",Erythranthe,,nasuta,,,Species,"Guy Nesom",2015,,,,,,"T.F. Daniel",4151,1985-03-24,1985,3,24,83,,,"Herb; occasional; corolla yellow","Sonoran Desertscrub; local in seep",,,,"Herb; occasional; corolla yellow",,,"flowers & fruit",,,,,,USA,Arizona,Maricopa,,"South Mountains; along national trail from Buena Vista lookout to Hidden Valley; Phoenix Quad., Sections 15, 14, 11",,33.3415,-112.04,,,"TRS: T01S R03E S15",,,"+-0.5 miles, lat-long estimate                                                                      ",,,634,756,,,,2080-2480ft,,,Roisan,"2018-03-12 17:05:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c7e52916-d3fc-468d-8078-2913c04c6772,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8464331
649341,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,fff32a89-10d2-498c-8ae3-1897d31bc280,,153355,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chaenactis",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Chaenactis stevioides",2872,"Hook. & Arn.",Chaenactis,,stevioides,,,Species,,,,,,,,"TF Daniel",3965,1985-03-06,1985,3,6,65,,,"Herb; corollas white; occasional","Sonoran desertscrub; AZ upland; canyons, rocky slopes and wash on SE portion of mountains",,,,"Herb; corollas white; occasional",,,flowers,,,,,,USA,Arizona,Maricopa,,"South Mountains",,33.3415,-112.022,,,"TRS: T01S R03E S14 E1/2",,,"+-0.5 miles, lat-long estimate                                                                      ",,,427,579,,,,1400-1900ft,,,Deanna,"2018-03-08 09:18:16",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:fff32a89-10d2-498c-8ae3-1897d31bc280,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=649341
